date,code,action,reason,price,shares,pnl_pct
2024-11-18,688428.SH,卖出,死叉,11.85,100,30.363036303630352
2024-11-18,002529.SZ,买入,金叉,8.11,100,0.0
2024-11-19,920062.BJ,买入,金叉,8.65,100,0.0
2024-11-26,300047.SZ,卖出,死叉,12.98,100,61.44278606965177
2024-11-26,002480.SZ,卖出,死叉,4.91,200,22.13930348258708
2024-11-26,300057.SZ,卖出,死叉,5.59,100,4.681647940074907
2024-11-26,002181.SZ,买入,金叉,5.49,100,0.0
2024-11-26,300256.SZ,买入,金叉,4.45,200,0.0
2024-11-27,002529.SZ,卖出,死叉,8.14,100,0.36991368680643344
2024-11-27,002181.SZ,卖出,止损,4.97,100,-9.471766848816031
2024-11-27,002513.SZ,买入,金叉,6.1,100,0.0
2024-11-27,603716.SH,买入,金叉,9.37,100,0.0
2024-11-28,000678.SZ,卖出,死叉,5.77,200,18.724279835390934
2024-11-28,600470.SH,买入,金叉,6.57,100,0.0
2024-11-29,002513.SZ,卖出,死叉,5.68,100,-6.8852459016393475
2024-11-29,603716.SH,卖出,止损,8.83,100,-5.763073639274275
2024-11-29,600470.SH,卖出,止损,6.15,100,-6.392694063926941
2024-11-29,600589.SH,买入,金叉,5.47,100,0.0
2024-11-29,002344.SZ,买入,金叉,4.92,200,0.0
2024-12-02,300131.SZ,卖出,止损,7.98,100,-7.531865585168019
2024-12-02,300086.SZ,买入,金叉,6.46,100,0.0
2024-12-02,600228.SH,买入,金叉,7.42,100,0.0
2024-12-03,002076.SZ,买入,金叉,2.88,300,0.0
2024-12-04,300256.SZ,卖出,死叉,4.82,200,8.314606741573026
2024-12-04,300086.SZ,卖出,止损,5.75,100,-10.99071207430341
2024-12-04,600228.SH,卖出,止损,6.96,100,-6.199460916442046
2024-12-04,000659.SZ,买入,金叉,3.53,200,0.0
2024-12-04,300459.SZ,买入,金叉,6.92,100,0.0
2024-12-05,600589.SH,卖出,止损,5.12,100,-6.39853747714807
2024-12-05,002723.SZ,买入,金叉,7.9,100,0.0
2024-12-06,600545.SH,买入,金叉,2.86,300,0.0
2024-12-09,000659.SZ,卖出,止损,3.29,200,-6.798866855524077
2024-12-09,603116.SH,买入,金叉,7.78,100,0.0
2024-12-13,920062.BJ,卖出,死叉,8.39,100,-3.0057803468208077
2024-12-13,002470.SZ,买入,金叉,2.35,400,0.0
2024-12-16,600121.SH,卖出,死叉,4.55,200,-2.777777777777779
2024-12-16,002575.SZ,买入,金叉,7.5,100,0.0
2024-12-17,603116.SH,卖出,止损,6.86,100,-11.82519280205655
2024-12-17,002470.SZ,卖出,止损,2.22,400,-5.531914893617018
2024-12-17,600712.SH,买入,金叉,7.3,100,0.0
2024-12-18,002575.SZ,卖出,止损,7.08,100,-5.599999999999994
2024-12-18,002702.SZ,买入,金叉,5.41,100,0.0
2024-12-19,300334.SZ,卖出,死叉,6.43,100,1.4195583596214423
2024-12-19,600712.SH,卖出,止损,6.92,100,-5.205479452054796
2024-12-19,002702.SZ,卖出,止损,4.95,100,-8.50277264325323
2024-12-19,000619.SZ,买入,金叉,7.07,100,0.0
2024-12-19,601216.SH,买入,金叉,6.52,100,0.0
2024-12-20,601216.SH,卖出,止损,5.87,100,-9.969325153374232
