date,code,strategy,reason,pnl
2026-01-26,002043.SZ,红利低波,调仓,10.155670867309109
2026-01-26,688513.SH,红利低波,买入,0.0
2026-01-26,300783.SZ,红利低波,买入,0.0
2026-01-26,605005.SH,红利低波,买入,0.0
2026-01-26,601567.SH,红利低波,买入,0.0
2026-02-02,605599.SH,红利低波,调仓,55.468191565403856
2026-02-02,688513.SH,红利低波,调仓,8.057357459883917
2026-02-02,300783.SZ,红利低波,调仓,0.04132231404958553
2026-02-02,601567.SH,红利低波,调仓,-8.050513022888705
2026-02-02,300660.SZ,红利低波,买入,0.0
2026-02-02,603297.SH,红利低波,买入,0.0
2026-02-02,603868.SH,红利低波,买入,0.0
2026-02-09,920005.BJ,红利低波,止损,-12.450765864332613
2026-02-09,603297.SH,红利低波,调仓,7.203635660413843
2026-02-09,600506.SH,红利低波,买入,0.0
2026-02-09,920005.BJ,红利低波,买入,0.0
2026-02-09,300783.SZ,红利低波,买入,0.0
2026-02-12,300015.SZ,红利低波,止损,-12.602965403624388
2026-02-24,600506.SH,红利低波,调仓,3.286573146292593
2026-03-02,300783.SZ,红利低波,止损,-14.423480083857443
2026-03-02,920050.BJ,红利低波,买入,0.0
2026-03-02,300783.SZ,红利低波,买入,0.0
2026-03-02,600776.SH,红利低波,买入,0.0
2026-03-03,688169.SH,红利低波,止损,-13.482714468629965
2026-03-04,000963.SZ,红利低波,止损,-12.57453979777029
2026-03-05,002570.SZ,红利低波,止损,-12.352941176470589
2026-03-09,301631.SZ,红利低波,止损,-12.063582174283283
2026-03-09,600776.SH,红利低波,调仓,-9.140369967355822
2026-03-09,301631.SZ,红利低波,买入,0.0
2026-03-09,688169.SH,红利低波,买入,0.0
2026-03-09,002570.SZ,红利低波,买入,0.0
2026-03-09,000963.SZ,红利低波,买入,0.0
2026-03-09,301600.SZ,红利低波,买入,0.0
2026-03-16,002043.SZ,红利低波,买入,0.0
