rebalance_date,stock_code,weight,raw_score,industry,circ_mv
2024-07-31,301127.SZ,0.012499999999999999,94.07306328421662,环境保护,284321.1279
2024-07-31,301096.SZ,0.012499999999999999,93.48506165778888,医疗保健,298952.3862
2024-07-31,600784.SH,0.012499999999999999,90.70817066334922,综合类,271020.8325
2024-07-31,002971.SZ,0.012499999999999999,89.06393964919566,化工原料,290861.7868
2024-07-31,000965.SZ,0.012499999999999999,88.87854307654544,区域地产,292995.3563
2024-07-31,600503.SH,0.012499999999999999,88.46165700128198,区域地产,290014.49
2024-07-31,688057.SH,0.012499999999999999,88.4573962198002,环境保护,268548.0
2024-07-31,603217.SH,0.012499999999999999,86.55638976136419,化工原料,290091.7456
2024-07-31,688410.SH,0.012499999999999999,83.04933741341367,医疗保健,266503.3978
2024-07-31,300695.SZ,0.012499999999999999,82.51413209507763,汽车配件,254851.0301
2024-07-31,002674.SZ,0.012499999999999999,82.25556418271744,纺织,262868.6533
2024-07-31,002991.SZ,0.012499999999999999,82.20522596879182,食品,283803.7531
2024-07-31,603180.SH,0.012499999999999999,81.67734713752179,家居用品,281673.3003
2024-07-31,000862.SZ,0.012499999999999999,77.99357602768599,新型电力,275049.5845
2024-07-31,600327.SH,0.012499999999999999,77.96271946794427,医疗保健,299055.4771
2024-07-31,002448.SZ,0.012499999999999999,75.6804738396476,汽车配件,284822.8449
2024-07-31,600215.SH,0.012499999999999999,75.55234225694278,专用机械,290577.5117
2024-07-31,603948.SH,0.012499999999999999,73.13509287537173,化工原料,256570.3947
2024-07-31,002228.SZ,0.012499999999999999,72.42441522027335,广告包装,293723.7891
2024-07-31,300384.SZ,0.012499999999999999,71.47645135409616,建筑工程,268218.9592
2024-07-31,603759.SH,0.012499999999999999,71.27649062038208,水务,272438.4
2024-07-31,000753.SZ,0.012499999999999999,70.92823161979518,综合类,280589.1431
2024-07-31,603856.SH,0.012499999999999999,69.25831629596193,塑料,267184.0132
2024-07-31,002950.SZ,0.012499999999999999,69.0249521960138,医疗保健,297864.8427
2024-07-31,002082.SZ,0.012499999999999999,68.7376293044287,中成药,266409.6718
2024-07-31,603987.SH,0.012499999999999999,68.3001722039302,医疗保健,277831.1214
2024-07-31,002695.SZ,0.012499999999999999,67.20711230825466,食品,296257.5375
2024-07-31,002040.SZ,0.012499999999999999,66.14695544025196,港口,278764.8768
2024-07-31,300430.SZ,0.012499999999999999,65.01519621197022,电器仪表,296698.9163
2024-07-31,603096.SH,0.012499999999999999,64.93419386436436,出版业,263580.8149
